Date,Symbol,Series,Prev Close,open,high,low,Last,close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,signal,quantity,netWorth,balance
2009-08-20,ADANIPOWER,EQ,100.0,108.0,110.0,98.3,100.1,100.1,101.21,164328256,1663166166050000.0,,60240064,0.3666,buy,940.5710312090389,100000.0,5754.688615751191
2009-08-21,ADANIPOWER,EQ,100.1,99.9,103.9,98.0,102.4,103.15,101.92,33717842,343658554855000.0,,13240994,0.3927,sell,512.7673391219586,102774.59048496356,49838.511503694746
2009-08-24,ADANIPOWER,EQ,103.15,103.9,104.4,101.55,102.8,103.1,102.96,13665282,140694753209999.98,,6163798,0.4511,sell,252.81548714546682,102704.82416716867,76612.74640653227
2009-08-25,ADANIPOWER,EQ,103.1,102.5,103.15,101.0,102.55,102.75,102.15,11720267,119727847840000.02,,6539380,0.5579999999999999,buy,948.6415326725053,102589.53771072898,5045.124102451169
2009-08-26,ADANIPOWER,EQ,102.75,103.0,107.5,102.85,104.65,105.1,105.33,17158838,180738767255000.0,,6667745,0.3886,buy,957.7265525046257,104747.34918633147,4089.333682510954
2009-08-27,ADANIPOWER,EQ,105.1,104.95,106.8,103.75,104.4,104.75,105.14,7522959,79099420545000.0,,2650709,0.3523,sell,404.44142263917047,104411.1900573705,61987.99441856398
2009-08-28,ADANIPOWER,EQ,104.75,104.9,105.7,103.8,103.9,104.65,104.85,4566182,47878140585000.0,,2194721,0.4806,buy,698.0502572696635,104312.78929775317,31231.103709938812
2009-08-31,ADANIPOWER,EQ,104.65,102.75,104.7,102.55,102.65,103.2,103.43,5318852,55013145395000.01,,3725295,0.7004,sell,414.15103148122137,103269.89026016809,60500.20541120467
2009-09-01,ADANIPOWER,EQ,103.2,103.25,104.3,100.4,100.9,101.0,101.95,4343009,44278829820000.0,,2510876,0.5781000000000001,sell,39.0018789586137,102329.45959080802,98352.37975158327
2009-09-02,ADANIPOWER,EQ,101.0,100.3,102.65,100.1,100.95,101.45,101.29,6285933,63669756595000.01,,3726120,0.5928,buy,755.4350316843997,102309.12037193464,25597.55426420826
2009-09-03,ADANIPOWER,EQ,101.45,102.0,102.3,99.75,100.0,100.1,100.85,1678138,16923346800000.0,,753558,0.449,sell,681.8017926117136,101216.60093581666,32960.87080815296
2009-09-04,ADANIPOWER,EQ,100.1,100.25,100.75,97.3,99.1,98.65,98.79,3362784,33221868885000.004,,1242964,0.3696,sell,663.2619200801431,100220.61764929851,34788.000274967155
