Date,Symbol,Series,Prev Close,open,high,low,last,close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,signal,quantity,netWorth,balance
1996-01-01,BLUEDART,EQ,114.0,115.0,118.0,115.0,,117.5,115.38,1300,14999500000.0,,,,buy,795.6851477163697,100000.0,6413.502138469907
1996-01-02,BLUEDART,EQ,117.5,117.5,119.0,115.0,,116.0,116.87,1600,18699000000.0,,,,sell,198.9135219525898,98712.9792735688,75569.78521847977
1996-01-03,BLUEDART,EQ,116.0,116.0,116.05,115.05,,116.0,115.78,400,4631000000.0,,,,buy,545.370144603072,98643.75376498018,35340.62802279638
1996-01-04,BLUEDART,EQ,116.0,116.0,116.95,115.0,,115.0,116.14,600,6968500000.0,,,,buy,679.9501839756218,98058.19465214966,19848.44679042531
1996-01-05,BLUEDART,EQ,115.0,113.5,113.5,112.0,,112.0,112.63,400,4505000000.0,,,,buy,835.9070980082724,96002.86739569495,2363.80524439679
1996-01-08,BLUEDART,EQ,112.0,107.5,107.5,103.0,,103.0,106.5,600,6390000000.0,,,,sell,68.35974685392569,88462.23633924885,81342.12503612561
1996-01-09,BLUEDART,EQ,103.0,103.0,103.0,103.0,,103.0,103.0,100,1030000000.0,,,,buy,238.2823552162202,88383.17896207995,63822.59434614796
1996-01-10,BLUEDART,EQ,103.0,103.0,98.0,98.0,,98.0,98.0,300,2940000000.0,,,,buy,672.6772732756677,87174.26515733753,21209.32167435228
1996-01-11,BLUEDART,EQ,98.0,96.0,96.0,96.0,,96.0,96.0,100,960000000.0,,,,sell,152.838718422316,85786.33990881639,71063.91843900812
1996-01-12,BLUEDART,EQ,96.0,96.0,99.0,99.0,,99.0,99.0,300,2970000000.0,,,,buy,179.24157243822992,86194.95156281741,68447.42200888507
1996-01-16,BLUEDART,EQ,99.0,99.0,97.0,95.0,,95.0,96.1,500,4805000000.0,,,,buy,462.6992343584806,85475.37139051691,41492.01564857883
1996-01-17,BLUEDART,EQ,95.0,96.0,102.0,96.0,,102.0,101.74,5500,55959500000.0,,,,sell,453.4679733200441,88687.33755314385,42432.66268587344
1996-01-18,BLUEDART,EQ,102.0,100.0,100.0,93.0,,93.0,96.9,300,2907000000.0,,,,sell,180.93011868137506,84605.18420463754,67753.33714678827
1996-01-19,BLUEDART,EQ,93.0,95.0,95.0,93.0,,93.0,94.0,200,1880000000.0,,,,buy,746.1993764144506,84579.83818415615,15130.726136643061
1996-01-22,BLUEDART,EQ,93.0,85.0,85.0,84.0,,84.0,84.6,500,4230000000.0,,,,sell,663.8643585463758,77811.47375545691,22039.95149606043
1996-01-23,BLUEDART,EQ,84.0,86.9,88.5,82.0,,87.05,85.38,900,7684500000.0,,,,sell,189.70634321777254,79829.34390752245,63274.13127518099
1996-01-24,BLUEDART,EQ,87.05,86.75,86.75,84.0,,84.0,85.38,200,1707500000.0,,,,buy,936.943996317604,79209.46410547389,443.40045193476544
