Date,Symbol,Series,Prev Close,open,high,low,last,close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,signal,quantity,netWorth,balance
2009-09-01,NHPC,EQ,36.0,42.0,42.0,36.65,36.8,36.75,37.38,508832326,1901981314235000.0,,270162234,0.5309,buy,719.9308212037671,100000.0,73516.08486308233
2009-09-02,NHPC,EQ,36.75,36.45,37.6,35.75,36.35,36.35,36.76,93326373,343049462780000.0,,42247261,0.4527,sell,393.8863407750896,99685.57021383928,85355.95000980118
2009-09-03,NHPC,EQ,36.35,36.5,37.2,36.0,36.1,36.1,36.37,56420302,205202723215000.0,,28628071,0.5074000000000001,sell,233.55513752018987,99575.24691178191,91138.11849086556
2009-09-04,NHPC,EQ,36.1,36.75,36.75,34.3,35.3,35.25,35.18,85231353,299809753285000.0,,37520051,0.4402,buy,2607.3192168368364,99370.93708845224,7379.25951115787
2009-09-07,NHPC,EQ,35.25,35.45,35.75,34.5,34.55,34.6,34.76,57610114,200253895715000.0,,30205262,0.5243,sell,2489.450259351027,97592.50441371242,11453.447174237868
2009-09-08,NHPC,EQ,34.6,34.7,35.95,34.5,35.3,35.2,35.28,56325197,198725040845000.0,,19779386,0.3511999999999999,buy,2779.739306737481,99082.09630339402,1225.054531766682
2009-09-09,NHPC,EQ,35.2,35.3,35.5,34.5,34.6,34.55,34.8,33977137,118239274059999.98,,16824221,0.4952,sell,1838.4512855055152,97265.04757954663,33714.03416419753
2009-09-10,NHPC,EQ,34.55,34.95,35.05,33.9,33.95,33.95,34.22,44808247,153337591325000.0,,23746781,0.53,buy,2256.0554808331067,96129.45530710978,19522.19407039443
2009-09-11,NHPC,EQ,33.95,34.0,34.35,33.2,33.35,33.4,33.65,31195662,104969304530000.0,,12921620,0.4142,sell,818.8882899503881,94874.4471302202,67475.57686170175
2009-09-14,NHPC,EQ,33.4,33.5,34.4,33.05,33.95,33.8,33.83,32593128,110276004759999.98,,7768540,0.2382999999999999,buy,1300.6577628379564,95154.00106202486,51175.48486991834
2009-09-15,NHPC,EQ,33.8,34.1,34.25,33.85,34.0,33.95,34.03,11042637,37582669890000.0,,5188416,0.4699,buy,2187.344890182891,95332.81591826696,21042.35386858445
2009-09-16,NHPC,EQ,33.95,34.1,36.45,34.0,36.2,36.15,35.57,79382879,282335791485000.0,,27470180,0.346,sell,1922.1420082682112,100114.87164869596,30619.850965618916
2009-09-17,NHPC,EQ,36.15,36.5,36.7,35.5,35.55,35.7,35.9,32776776,117679850009999.98,,11997401,0.366,sell,256.44696387747126,99240.32066079404,90025.69873728359
2009-09-18,NHPC,EQ,35.7,35.65,36.0,34.9,35.4,35.7,35.37,25061773,88631614330000.0,,8543776,0.3409,buy,2261.06558705233,99180.85534770932,18389.249005093778
2009-09-22,NHPC,EQ,35.7,35.7,35.8,35.0,35.0,35.05,35.23,15424285,54333042475000.0,,6821959,0.4422999999999999,sell,611.697372767095,97639.59783127796,76141.79455988057
2009-09-23,NHPC,EQ,35.05,35.2,35.3,34.6,34.75,34.7,34.92,16347922,57092528265000.0,,7862696,0.481,buy,756.2305775232043,97367.69339489876,71121.47705263854
2009-09-24,NHPC,EQ,34.7,34.3,35.0,33.7,34.7,34.6,34.58,16389003,56665009879999.99,,7187390,0.4385,buy,2302.344958811233,97287.0550349414,17572.423902480186
2009-09-25,NHPC,EQ,34.6,34.6,35.1,34.3,34.85,34.7,34.83,11338529,39487290860000.0,,5394670,0.4758,sell,1588.340538282547,97463.79397322996,42323.60134143325
2009-09-29,NHPC,EQ,34.7,34.95,35.15,34.4,34.55,34.6,34.69,14113806,48964615275000.0,,6575943,0.4659,buy,1700.0611945894314,97280.18396600938,38454.201098506834
2009-09-30,NHPC,EQ,34.6,34.45,34.95,34.4,34.5,34.5,34.65,9094662,31510829370000.0,,4020817,0.4421,buy,2613.535883586356,97106.31231184222,6907.809451342535
2009-10-01,NHPC,EQ,34.5,34.6,34.85,34.3,34.3,34.45,34.54,16395692,56630512520000.01,,8280721,0.5051,sell,134.51269735271853,96944.1206408925,92224.7558683256
2009-10-05,NHPC,EQ,34.45,34.4,34.5,33.9,34.1,33.95,34.13,10544867,35994051295000.0,,5741030,0.5444,buy,2469.8627064137468,96791.4619434504,12860.337927896078
2009-10-06,NHPC,EQ,33.95,34.0,34.4,33.15,33.35,33.4,33.47,13396479,44832755065000.0,,6872257,0.513,sell,2106.443153286324,95353.75232211522,24986.41278927754
2009-10-07,NHPC,EQ,33.4,33.5,34.0,33.35,33.4,33.45,33.66,9309948,31340921615000.0,,4173662,0.4483,sell,1392.1474466981306,95446.93626670507,48855.71098326724
2009-10-08,NHPC,EQ,33.45,34.5,34.5,33.25,33.3,33.35,33.41,14917606,49846951385000.0,,7437325,0.4986,buy,1582.833785618613,95283.8283306499,42489.96219086615
2009-10-09,NHPC,EQ,33.35,33.5,33.6,33.0,33.05,33.05,33.23,10908306,36253567420000.0,,5974978,0.5477000000000001,sell,1196.6847612333552,94802.61880556132,55239.425221543
2009-10-12,NHPC,EQ,33.05,33.0,33.4,32.9,32.9,33.0,33.07,11466808,37919956585000.0,,6080367,0.5303,buy,2373.197063026986,94730.02234224373,16375.694356394
2009-10-14,NHPC,EQ,33.0,33.25,33.4,32.75,32.85,32.8,32.97,11077149,36518308275000.0,,5474035,0.4942,sell,2169.4169005296067,94216.55802367914,23052.99969697813
2009-10-15,NHPC,EQ,32.8,33.05,34.0,32.45,33.55,33.5,33.4,23397758,78149447405000.0,,7820854,0.3343,sell,890.5643048796969,95728.46586471995,65851.72008929585
2009-10-16,NHPC,EQ,33.5,33.5,33.85,33.3,33.45,33.4,33.56,6664251,22367556010000.0,,2434345,0.3653,buy,2280.910877813768,95596.56787227772,19367.70697776189
2009-10-17,NHPC,EQ,33.4,35.0,35.0,33.6,33.85,33.9,33.88,5894751,19973524965000.0,,3212018,0.5449,sell,987.2020347562784,96690.58573564862,63180.580027631135
2009-10-20,NHPC,EQ,33.9,34.0,34.35,32.75,32.95,32.85,33.25,14404129,47892976270000.0,,8518490,0.5914,buy,2867.813740575976,95610.16686937488,1340.707396917882
2009-10-21,NHPC,EQ,32.85,33.0,33.15,32.6,32.65,32.6,32.82,8934595,29318897760000.004,,4693367,0.5253,sell,852.239441602394,94831.4353396947,66982.72182131012
2009-10-22,NHPC,EQ,32.6,32.6,33.05,32.5,32.7,32.75,32.7,9238237,30208150225000.0,,3996967,0.4327,buy,1331.8271958813752,94893.56353378852,51260.51636972084
2009-10-23,NHPC,EQ,32.75,33.0,33.15,32.4,32.5,32.45,32.55,12777644,41595831750000.0,,6716177,0.5256000000000001,buy,2383.637296836862,94478.30887607147,17095.14735593929
2009-10-26,NHPC,EQ,32.45,32.5,32.7,32.0,32.05,32.05,32.24,11613260,37437780730000.0,,5915341,0.5094,sell,465.5618580804637,93490.72271956073,78507.9908502697
2009-10-27,NHPC,EQ,32.05,32.0,32.1,31.55,31.8,31.7,31.81,17299675,55037755895000.01,,11006113,0.6362,sell,441.4549383316324,93266.3017514204,79271.41601695163
2009-10-28,NHPC,EQ,31.7,31.9,31.9,30.6,31.2,30.9,31.23,15714207,49078378210000.0,,8571697,0.5455,buy,1996.5799144819607,92912.37361139906,31170.00089214344
2009-10-29,NHPC,EQ,30.9,30.8,31.45,30.5,30.65,30.75,30.93,10764613,33294682985000.004,,3985857,0.3703,sell,1387.6697125480794,92564.83326246374,49875.265612900825
2009-10-30,NHPC,EQ,30.75,31.1,31.4,30.35,30.5,30.5,30.87,9977015,30795323090000.0,,4300326,0.431,buy,1874.421301394864,92199.19184561724,35014.49622961407
2009-11-03,NHPC,EQ,30.5,30.0,31.05,29.95,30.15,30.05,30.28,16975407,51397245865000.0,,9829230,0.579,sell,1627.7443670608434,91340.85633652972,42419.72546447465
2009-11-04,NHPC,EQ,30.05,29.4,30.6,29.4,30.1,30.1,30.09,7741748,23294926770000.0,,3490959,0.4509,sell,1231.380474102339,91414.83091300604,54338.34808934759
2009-11-05,NHPC,EQ,30.1,30.0,31.05,30.0,30.8,30.75,30.53,14167392,43251288600000.0,,4518583,0.3189,buy,2685.6425575722646,92203.29766799451,9575.070463580676
2009-11-06,NHPC,EQ,30.75,31.05,33.25,31.0,33.1,32.6,32.62,30139844,98322969985000.0,,11157521,0.3702,sell,1232.1858227059422,97127.01784043651,56910.37733066615
2009-11-09,NHPC,EQ,32.6,32.8,33.5,32.45,32.75,32.8,32.85,8474775,27837683455000.0,,3117436,0.3678,buy,1574.9762382185738,97326.07231542104,45655.60817622302
2009-11-10,NHPC,EQ,32.8,34.2,34.2,32.55,32.65,32.7,32.94,9431732,31070617410000.004,,3801358,0.4029999999999999,sell,56.21993748722275,97157.3311659704,95269.27587910429
2009-11-11,NHPC,EQ,32.7,32.9,32.9,32.15,32.45,32.4,32.42,6732856,21825729715000.0,,2682060,0.3984,buy,1997.519525907496,97090.80185369033,32308.271107622622
2009-11-12,NHPC,EQ,32.4,32.4,32.7,31.75,32.3,32.3,32.24,8660198,27921311800000.0,,3840613,0.4435,buy,2451.0181361862446,96828.15179443474,17645.617990507046
2009-11-13,NHPC,EQ,32.3,32.1,32.5,31.9,32.25,32.35,32.22,7912005,25489072030000.0,,3243630,0.41,sell,292.2562925035554,96936.05469613208,87411.72768799891
2009-11-16,NHPC,EQ,32.35,32.1,32.55,32.1,32.3,32.25,32.34,3897789,12605173450000.0,,1612698,0.4136999999999999,buy,2719.125699630295,96836.99312123856,9066.922769781726
2009-11-17,NHPC,EQ,32.25,32.1,32.55,32.1,32.45,32.4,32.38,5815498,18828092710000.0,,2741900,0.4715,sell,1807.612855906675,97166.59543780328,38570.40589029038
2009-11-18,NHPC,EQ,32.4,32.4,32.45,31.75,32.05,32.1,32.14,8490781,27288344395000.0,,3618896,0.4261999999999999,sell,1415.7270293148335,96594.77856489464,51137.36138885488
2009-11-19,NHPC,EQ,32.1,32.5,32.5,31.75,31.8,31.85,32.01,5480919,17546499319999.998,,2592817,0.4731,sell,1414.801249896761,96228.26727253234,51166.81797724603
2009-11-20,NHPC,EQ,31.85,31.9,31.9,31.6,31.8,31.7,31.76,4122826,13095896795000.0,,1508924,0.366,buy,1835.344853262577,96016.01759897335,37822.25451832296
2009-11-23,NHPC,EQ,31.7,31.75,32.3,31.55,31.7,31.75,31.83,5819427,18525161705000.0,,1870001,0.3213,sell,1575.9810342839028,96094.45360940976,46048.8209696433
